M4B113_C16,COLD1,qSCT1,qCST10,qPSST6,Dro1,qDTY1.1,qDTY12.1,qDTY2.1,qDTY2.2,qDTY3.1,qDTY3.2,qDTY4.1,TT1,qHTSF4.1,qSIS1L,Saltol,qSOR1,qSub1,qAG3,Pita,qPi33,qXa26,qXa4,BPH17,BPH32,TSV1,STV11,fgr-1,Chalk5,Alk,GS3,NAS3,Hd1,DTH8,Ghd7,Hd2,RFT1,Hd3a,ehd1,GNP1,Gn1a,GFR1,HIS1,TGW6,NGR5,NAL1,SLG7
1033,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[+p]-Aro,[--],[--],[+p],[+p],?,[+p],?,[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
929,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[+p]-Aro,[--],[--],[+p],[--],[--],?,[Het],[--],[--],[--],[Het],[Het],[+p],?,?,[--],[Het] IRRI154/[--],[--]-IR24,?,[+p]-1c,[Het] ind2/[--],[Het] [+ type 1/--],[+p],[--]-ind1,,[+p]-indica,[+p],[+p],?,[--],[--]-indica
658,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[+p]-Aro,[--],[--],[+p],[+p],?,[+p],?,[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
35,[--],[+p],[--],[--],[+p],[--],[--],,?,[--],[+p]-IR64 (intermediate),?,[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[+p],[+p],[+p]-TKM6/[+p]-AdaySel,[+p],[--],[+p],[--],[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[+p],[--] Hap.3,[--],[--]-indica
583,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
659,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[--],[--],[--],[--],[--],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[--],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
800,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],?,[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] N22 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
948,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[+p],?,[+p],?,[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[+p] Hap.2,[--],[--]-indica
350,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[+p],?,[+p],?,[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[+p] Hap.2,[--],[--]-indica
121,[--],[+p],[--],[--],[+p],[--],[--],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[+p],?,[--],?,[--],[+p],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[--],[--],[--] Hap.3,[--],[--]-indica
1045,[--],?,[--],?,[+p],?,[+p],,[--],[--],?,[--],[--],,[Het],[--],[--],[--],[+p],[--],[--],[+p],?,[--],[--],[--],[+p],[--],[Het],[+p]-Alk-3b,[+p],[Het],[Het] IRRI154/[--],[--]-IR24,?,?,[Het] ind2/[--],[Het] [+ type 1/--],[+p],[--]-ind1,,[Het]-[indica +/-],[Het],[Het],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
905,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[+p]-Aro,[--],[--],[+p],[+p],?,[+p],?,[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
592,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
1183,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[+p]-Aro,[--],[--],[+p],[--],[--],[+p],[+p],[--],[--],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[+p],[--]-indica
518,[--],?,[--],[--],[+p],?,[Het]/[Het],,?,[--],?,[--],[--],,[--],?,[--],[--],[+p],[Het],?,[+p],[+p],[Het],[Het],[--],[+p],[Het],[Het],?,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[Het] ind2/[--],[Het] [+ type 1/--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[Het] - [+/- Hap.2/3],[--],[--]-indica
369,[--],[+p],[--],[--],[+p],[--],[--],,?,?,[+p]-IR64 (intermediate),?,[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[+p],[+p],[+p]-TKM6/[+p]-AdaySel,[+p],[--],[+p],[--],[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[+p],[--] Hap.3,[--],[--]-indica
162,[--],[+p],[--],[--],[+p],[--],[--],,?,[+p],[+p]-IR64 (intermediate),[--],[--],,[--],[--],[--],[--],[+p],[+p],[+p],[+p],[+p],[+p],[+p],[--],[+p],[--],[+p],[--],[+p],[--],[+p] N22 deletion,[--]-IR24,[--]-Ghd7-2,[--]-IR/[+p]-1b,[+p],[--],[+p],[--]-ind1,,[--]-indica,[+p],[--],[--] Hap.3,[--],[--]-indica
31,[--],[+p],[--],[--],[+p],[--],[--],,?,[--],?,?,[--],,[--],?,[--],[--],[+p],[Het],?,[+p],?,[Het],[+p],[Het],[+p],[Het],[+p],?,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[Het],[Het] - [- haplotypes],[--],[--]-indica
1202,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[+p]-Aro,[--],[--],[+p],[+p],?,[+p],?,[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
1135,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],?,[--],[--],[+p],[--],[--],[+p],[Het],[--],[--],[--],[+p],[+p],[+p],[+p]-Alk-3b,?,[--],[+p] IRRI154 deletion,[+p],?,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[Het],[--]-indica
908,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],[--],[--],[--],[--],[Het],[+p],[+p],[+p]-Alk-3b,[--]-Medium,[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
1172,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],?,[--],[--],[--],[+p],[--],[--],[+p]-Alk-3b,[+p],[+p],[+p] IRRI154 deletion,[+p],?,?,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
847,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
642,[--],[+p],[--],[--],[+p],[--],[Het]/[Het],,[--],[--],?,[--],[--],,[--],?,[--],[--],[+p],[--],[--],[+p],[Het],?,[Het],[Het],[Het],[+p],[+p],[+p]-Alk-3b,?,[--],[+p] IRRI154 deletion,[+p],?,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[Het],[Het] - [- haplotypes],[--],[--]-indica
1046,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],[--],[--],[--],[--],[+p],[+p],[+p],[+p]-Alk-3b,[--]-Medium,[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
662,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[+p]-Aro,[--],[--],[+p],[+p],?,[+p],?,[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
939,[--],?,[--],[--],[+p],?,[Het]/[Het],,[--],[--],?,[--],[--],,[Het],?,[--],[--],[+p],[--],[Het],[+p],[Het],[--],[--],[--],[+p],[--],[Het],[+p]-Alk-3b,[+p],[Het],[Het] IRRI154/[--],[--]-IR24,[Het]-4/2,[+p]-1c,[Het] ind2/[--],[Het] [+ type 1/--],[+p],[--] Het ind1/2,,[+p]-indica,[Het],[Het],?,[--],[--]-indica
250,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
527,[--],[+p],[--],[--],[+p],[--],[--],,?,[--],[+p]-IR64 (intermediate),?,[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],?,[+p],[--],[+p],?,[+p],?,[+p],[--],[+p] Het  IRRI154/N22,[+p],?,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[Het],[--] Hap.3,[--],[--]-indica
437,[--],[+p],[--],[--],[+p],[--],[+p],,?,[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],?,[+p],[--],[--],[+p],[--],[--],[--],[--]-Medium,[--],[+p] N22 deletion,[+p],[--]-Ghd7-2,[--]-IR/[+p]-1b,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
271,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
290,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
398,[--],[+p],[--],?,[+p],[--],[+p],,?,[--],[+p]-IR64 (intermediate),[--],[--],,[--],?,[--],?,[+p],[Het],?,[+p],[+p],[--],[+p],[--],[+p],[Het],[+p],[+p]-Alk-3b,?,[--],[+p] IRRI154 deletion,[Het],?,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[Het] - [- haplotypes],[--],[--]-indica
206,[--],[+p],[--],[--],[+p],[--],[+p],,?,?,[+p]-IR64 (intermediate),[--],[--],,[--],[Het],[--],[--],[+p],[Het],?,[+p],?,?,[Het],[--],[+p],?,[+p],[+p]-Alk-3b,?,[--],[+p] N22 deletion,[Het],[--]-Ghd7-2,?,[--],[+p],[+p],[--]-ind1,,[+p]-indica,[Het],[--],[--] Hap.3,[--],[--]-indica
278,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
165,[--],[+p],[--],[--],[+p],[--],[--],,[--],[--],[--]-Swarna,[--],[--],,[--],?,[--],[--],[+p],[Het],?,[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[--],[--],[Het] - [+/- Hap.2/3],[--],[--]-indica
235,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
197,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
220,[--],[+p],[--],[--],[+p],[--],[Het]/[Het],,?,[--],[+p]-IR64 (intermediate),?,[--],,[--],?,[--],[--],[+p],[+p],?,[+p],[Het],[Het],[+p],[Het],[+p],?,[+p],?,?,[--],[+p] Het  IRRI154/N22,[+p],[--]-Ghd7-2,?,[+p],[--],[+p],[--] Het ind1/2,,[+p]-indica,[+p],[Het],[Het] - [- haplotypes],[--],[--]-indica
511,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
740,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
647,[--],?,[--],?,[+p],?,[--],,[--],[--],[--]-Swarna,[--],[--],,[Het],?,[--],[--],[+p],[+p],[Het],[+p],[Het],[--],[--],[Het],[+p],[--],[Het],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[--]-IR24,[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--] Het ind1/2,,[+p]-indica,[+p],[--],?,[Het],[Het]-ind/jap
649,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[+p]-Aro,[--],[--],[+p],[--],[--],[+p],[+p],[--],[--],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[+p],[--]-indica
919,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],[--],[--],[--],[--],[--],[+p],[+p],[+p]-Alk-3b,[--]-Medium,[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
441,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
196,[--],?,[--],[--],[+p],?,[Het]/[Het],,?,[--],[--]-Swarna,?,[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[+p],[--],[+p],?,[Het],[+p]-Alk-3b,[Het]-[+/Bold],[Het],[Het] IRRI154/[--],[+p],?,[+p]-1c,[+p],[--],[+p],[--] Het ind1/2,,?,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
203,[--],[+p],[--],[--],[+p],[--],[Het]/[Het],,?,?,?,[--],[--],,[--],[+p]-Aro,[--],?,[+p],[Het],?,[+p],?,[Het],[+p],[--],[+p],[--],[Het],[--],[--]-Medium,[--],[+p] Het  IRRI154/N22,[Het],[--]-Ghd7-2,[+p]-1c,[+p],[Het] [+ Culture340/--],[+p],[Het],,[Het]-[indica +/-],[+p],[--],[--] Hap.3,[--],[--]-indica
987,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[+p],?,[+p],?,[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[+p] Hap.2,[--],[--]-indica
542,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
517,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
244,[--],[+p],[--],[--],[+p],[--],[+p],,?,[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],?,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
36,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
215,[--],[+p],[--],[--],[+p],[--],[+p],,?,[+p],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aro,[--],[--],[+p],[--],[--],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p]-Alk-3b,[--]-Medium,[--],[+p] N22 deletion,[--]-IR24,[--]-Ghd7-2,[--]-IR/[+p]-1b,[--],[+p],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.3,[--],[--]-indica
225,[--],[+p],[--],[--],[+p],[--],[+p],,?,[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aro,[--],[+p],[+p],[--],[--],[+p],[+p],[+p],[+p],[--],[+p],[--],[+p],[--],[--]-Medium,[--],[+p] IRRI154 deletion,[--]-IR24,[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[--]-indica,[+p],[--],[--] Hap.3,[--],[--]-indica
552,?,[+p],[--],[--],[+p],[--],[+p],,[--],?,?,?,?,,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],?,[+p],[--],[+p],?,[+p],[+p]-Alk-3b,[+p],[--],?,[+p],?,?,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
248,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,?,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
392,[--],[+p],[--],?,[+p],[--],[+p],,?,[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aro,[--],[--],[+p],[--],[--],[+p],?,[+p],[--],[--],[--],[--],[+p],[+p]-Alk-3b,[--]-Medium,[--],[+p] IRRI154 deletion,[--]-IR24,[--]-Ghd7-2,[--]-IR/[+p]-1b,[+p],[--],[+p],[+p],,[--]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
1204,?,?,[+p],?,[+p],?,[--],,?,[--],Nipponbare,[--],[--],,[--],[--],[--],[--],[+p],[--],[--],[+p],?,?,[--],[--],[--],[--],[--],[+p]-Alk-4,[+p],[+p],[--] Photoperiod sensitive,[+p],[--]-Ghd7-2,[]-Moro,[+p],[+p],[+p],[--]-ind2,,[--]-jap,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
525,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
442,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],?,[--],[--],[+p],[+p],?,[+p],?,[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],?,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],?,[--],[--]-indica
1014,[--],[--],[--],[--],[+p],?,[--],,[--],[--],[--]-Swarna,?,[--],,?,[--],[--],[--],[+p],[+p],[--],[+p],[--],[--],?,[--],[+p],[--],[--],[--],[--]-Medium,[--],?,[+p],[--]-Ghd7-2,[+p]-1c,[--] Culture340,[+p] Culture340,[+p],[--]-ind1,,[+p]-indica,[--],[--],[+p] Hap.2,[--],[--]-indica
